probe	symbol
109856	TM7SF3
109858	CD55
109859	AK8
109860	OR6N2
109862	UQCRC2
109865	KIAA1524
109879	TANK
109887	PUF60
109888	SLC22A13
109891	CCDC148
109909	OTOP2
109911	GALR2
109913	DACH2
109918	TAAR6
109922	ADRA1A
109937	FHOD3
109943	IL16
109946	SFT2D1
109949	MGRN1
109956	ANGPT1
109958	BRMS1L
109967	ISYNA1
109981	NCBP2
109992	KLRC2
109998	RAD17
110009	ZFAND5
110014	VLDLR
110033	CES1
110043	RECK
110046	UTP14C
110058	OR2Y1
110063	FUT9
110066	IFT22
110071	CCR2
110074	GM2A
110076	CCDC126
110083	CTNS
110104	HMGCS2
110133	MOCOS
110140	FAM72D
110143	MYOZ3
110153	SLC35E1
110154	IFNA8
110160	TTLL9
110170	BTNL3
110171	FXYD7
110172	SLC6A19
110176	SPPL3
110179	DCP1A
110188	FAM212B
110198	NAT6
110205	SNRPF
110210	SPIB
110227	PAX7
110235	PRKAA1
110236	C5orf51
110237	ALS2CR11
110240	TRIM31
110243	LAP3
110254	MARK1
110269	GRIA2
110310	TRIM56
110323	SIM1
110329	SYNC
110349	HOXA11
110350	EPT1
110353	TIE1
110359	ZNF555
110362	C10orf82
110408	ZFAND1
110411	CSGALNACT2
110415	PON3
110417	PDPK1
110418	AVIL
110431	KDM5D
110433	IL20RA
110449	ROPN1B
110453	IL4I1
110458	CC2D2B
110460	SESTD1
110461	ZNF502
110462	TNFRSF14
110469	DNAJA4
110475	C6orf15
110477	RFTN1
110488	FAF2
110496	DYSF
110512	ACAD11
110525	COA7
110527	OR6S1
110537	ZNF623
110548	FGFR2
110551	SAXO1
110557	FXYD6
110560	SLC4A3
110562	POP4
110569	DCD
110570	COL5A1
110571	SPRR2D
110573	SPATA7
110576	RYBP
110587	EPB41L3
110594	ZC3H12B
110597	BROX
110602	CHST15
110609	CYBB
110611	EGFLAM
110614	KRT73
110615	DLX3
110649	GPR137B
110654	MON1A
110661	PAX8
110662	LYPD2
110675	BRIX1
110677	FKBP6
110689	PSMD7
110692	LRIT3
110695	ADAM12
110703	LAMP2
110709	FCRLA
110721	PLXDC1
110722	VSNL1
110732	NRG4
110763	MPHOSPH10
110767	CCDC181
110772	COL19A1
110781	ATP13A1
110790	ARHGAP17
110791	AARS
110798	TGFBR1
110801	STOX1
110807	ATP6V1E1
110809	NLGN1
110810	CRISP1
110819	MARCH2
110829	PPM1G
110852	ELP4
110855	ADCY2
110857	LRP12
110863	CCNA2
110867	NUPL2
110876	GUCA1A
110884	NR3C1
110889	PACSIN3
110897	DNAJC5G
110900	KCNJ15
110905	TBRG1
110909	MAGI1
110914	SLC25A11
110915	IL17C
110926	FBXO33
110931	POLR3E
110932	FAM58A
110933	LOXL2
110953	LRSAM1
110971	SLAMF8
110983	MFSD12
110988	IFT52
110990	ANAPC10
110995	LZTR1
111003	CASD1
111008	ACO1
111014	STK36
111016	PAAF1
111019	NDUFA5
111032	P2RY13
111052	DVL2
111056	TNP2
111057	GABRQ
111068	CSF1
111079	VSIG4
111085	KCNIP2
111095	DAAM2
111097	BPIFB4
111111	ITPR1
111127	TAS2R16
111134	THOC3
111139	HMCN1
111148	C12orf66
111149	RPS11
111164	NAIF1
111177	RORB
111179	ADRM1
111199	KIF5B
111202	HMG20A
111213	PDE1C
111229	MMP27
111239	TES
111253	FOXO4
111257	MDK
111265	PHTF2
111269	SLC45A3
111278	EED
111292	DIMT1
111306	COL4A2
